Date,Price,Open,High,Low,Vol.,Change %
01-01-2026,"25,320.65","26,173.30","26,373.20","24,919.80",8.38B,-3.10%
01-12-2025,"26,129.60","26,325.80","26,325.80","25,693.25",5.37B,-0.28%
01-11-2025,"26,202.95","25,696.85","26,310.45","25,318.45",5.50B,1.87%
01-10-2025,"25,722.10","24,620.55","26,104.20","24,605.95",6.24B,4.51%
01-09-2025,"24,611.10","24,432.70","25,448.95","24,432.70",5.98B,0.75%
01-08-2025,"24,426.85","24,734.90","25,153.65","24,337.50",5.87B,-1.38%
01-07-2025,"24,768.35","25,551.35","25,608.10","24,598.60",6.28B,-2.93%
01-06-2025,"25,517.05","24,669.70","25,669.35","24,473.00",7.06B,3.10%
01-05-2025,"24,750.70","24,311.90","25,116.25","23,935.75",8.55B,1.71%
01-04-2025,"24,334.20","23,341.10","24,457.65","21,743.65",7.66B,3.46%
01-03-2025,"23,519.35","22,194.55","23,869.60","21,964.60",6.24B,6.30%
01-02-2025,"22,124.70","23,528.60","23,807.30","22,104.85",5.65B,-5.89%
01-01-2025,"23,508.40","23,637.65","24,226.70","22,786.90",6.46B,-0.58%
01-12-2024,"23,644.80","24,140.85","24,857.75","23,460.45",5.45B,-2.02%
01-11-2024,"24,131.10","24,302.75","24,537.60","23,263.15",5.89B,-0.31%
01-10-2024,"24,205.35","25,788.45","25,907.60","24,073.90",6.33B,-6.22%
01-09-2024,"25,810.85","25,333.60","26,277.35","24,753.15",6.16B,2.28%
01-08-2024,"25,235.90","25,030.95","25,268.35","23,893.70",6.33B,1.14%
01-07-2024,"24,951.15","23,992.95","24,999.75","23,992.70",7.09B,3.92%
01-06-2024,"24,010.60","23,337.90","24,174.00","21,281.45",7.75B,6.57%
01-05-2024,"22,530.70","22,567.85","23,110.80","21,821.05",6.71B,-0.33%
01-04-2024,"22,604.85","22,455.00","22,783.35","21,777.65",6.28B,1.24%
01-03-2024,"22,326.90","22,048.30","22,526.60","21,710.20",6.74B,1.57%
01-02-2024,"21,982.80","21,780.65","22,297.50","21,530.20",6.73B,1.18%
01-01-2024,"21,725.70","21,727.75","22,124.15","21,137.20",6.82B,-0.03%
01-12-2023,"21,731.40","20,194.10","21,801.45","20,183.70",6.12B,7.94%
01-11-2023,"20,133.15","19,064.05","20,158.70","18,973.70",4.42B,5.52%
01-10-2023,"19,079.60","19,622.40","19,849.75","18,837.85",4.25B,-2.84%
01-09-2023,"19,638.30","19,258.15","20,222.45","19,255.70",5.67B,2.00%
01-08-2023,"19,253.80","19,784.00","19,795.60","19,223.65",6.25B,-2.53%
01-07-2023,"19,753.80","19,246.50","19,991.85","19,234.40",5.80B,2.94%
01-06-2023,"19,189.05","18,579.40","19,201.70","18,464.55",5.14B,3.53%
01-05-2023,"18,534.40","18,124.80","18,662.45","18,042.40",5.74B,2.60%
01-04-2023,"18,065.00","17,427.95","18,089.15","17,312.75",4.46B,4.06%
01-03-2023,"17,359.75","17,360.10","17,799.95","16,828.35",5.62B,0.32%
01-02-2023,"17,303.95","17,811.60","18,134.75","17,255.20",5.69B,-2.03%
01-01-2023,"17,662.15","18,131.70","18,251.95","17,405.55",5.63B,-2.45%
01-12-2022,"18,105.30","18,871.95","18,887.60","17,774.25",4.74B,-3.48%
01-11-2022,"18,758.35","18,130.70","18,816.05","17,959.20",5.26B,4.14%
01-10-2022,"18,012.20","17,102.10","18,022.80","16,855.55",4.54B,5.37%
01-09-2022,"17,094.35","17,485.70","18,096.15","16,747.70",6.90B,-3.74%
01-08-2022,"17,759.30","17,243.20","17,992.20","17,154.80",5.59B,3.50%
01-07-2022,"17,158.25","15,703.70","17,172.80","15,511.05",5.48B,8.73%
01-06-2022,"15,780.25","16,594.40","16,793.85","15,183.40",5.51B,-4.85%
01-05-2022,"16,584.55","16,924.45","17,132.85","15,735.75",6.34B,-3.03%
01-04-2022,"17,102.55","17,436.90","18,114.65","16,824.70",5.66B,-2.07%
01-03-2022,"17,464.75","16,593.10","17,559.80","15,671.45",7.96B,3.99%
01-02-2022,"16,793.90","17,529.45","17,794.60","16,203.25",5.62B,-3.15%
01-01-2022,"17,339.85","17,387.15","18,350.95","16,836.80",5.44B,-0.08%
01-12-2021,"17,354.05","17,104.40","17,639.50","16,410.20",5.50B,2.18%
01-11-2021,"16,983.20","17,783.15","18,210.15","16,782.40",5.85B,-3.90%
01-10-2021,"17,671.65","17,531.90","18,604.45","17,452.90",7.65B,0.30%
01-09-2021,"17,618.15","17,185.60","17,947.65","17,055.05",6.96B,2.84%
01-08-2021,"17,132.20","15,874.90","17,153.50","15,834.65",6.35B,8.69%
01-07-2021,"15,763.05","15,755.05","15,962.25","15,513.45",6.00B,0.26%
01-06-2021,"15,721.50","15,629.65","15,915.65","15,450.90",8.08B,0.89%
01-05-2021,"15,582.80","14,481.05","15,606.35","14,416.25",10.27B,6.50%
01-04-2021,"14,631.10","14,798.40","15,044.35","14,151.40",9.64B,-0.41%
01-03-2021,"14,690.70","14,702.50","15,336.30","14,264.40",11.36B,1.11%
01-02-2021,"14,529.15","13,758.60","15,431.75","13,661.75",14.31B,6.56%
01-01-2021,"13,634.60","13,996.10","14,753.55","13,596.75",13.02B,-2.48%
01-12-2020,"13,981.75","13,062.20","14,024.85","12,962.80",12.08B,7.81%
01-11-2020,"12,968.95","11,697.35","13,145.85","11,557.40",13.11B,11.39%
01-10-2020,"11,642.40","11,364.45","12,025.45","11,347.05",11.60B,3.51%
01-09-2020,"11,247.55","11,464.30","11,618.10","10,790.20",13.45B,-1.23%
01-08-2020,"11,387.50","11,057.55","11,794.25","10,882.25",14.04B,2.84%
01-07-2020,"11,073.45","10,323.80","11,341.40","10,299.60",14.64B,7.49%
01-06-2020,"10,302.10","9,726.85","10,553.15","9,544.35",16.78B,7.53%
01-05-2020,"9,580.30","9,533.50","9,598.85","8,806.75",13.68B,-2.84%
01-04-2020,"9,859.90","8,584.10","9,889.05","8,055.80",12.74B,14.68%
01-03-2020,"8,597.75","11,387.35","11,433.00","7,511.10",21.30B,-23.25%
01-02-2020,"11,201.75","11,939.00","12,246.70","11,175.05",11.19B,-6.36%
01-01-2020,"11,962.10","12,202.15","12,430.50","11,929.60",11.93B,-1.70%
01-12-2019,"12,168.45","12,137.05","12,293.90","11,832.30",12.55B,0.93%
01-11-2019,"12,056.05","11,886.60","12,158.80","11,802.65",13.18B,1.50%
01-10-2019,"11,877.45","11,515.40","11,945.00","11,090.15",15.62B,3.51%
01-09-2019,"11,474.45","10,960.95","11,694.85","10,670.25",12.21B,4.09%
01-08-2019,"11,023.25","11,060.20","11,181.45","10,637.15",11.15B,-0.85%
01-07-2019,"11,118.00","11,839.90","11,981.75","10,999.40",9.99B,-5.69%
01-06-2019,"11,788.85","11,953.75","12,103.05","11,625.10",6.79B,-1.12%
01-05-2019,"11,922.80","11,725.55","12,041.15","11,108.30",8.65B,1.49%
01-04-2019,"11,748.15","11,665.20","11,856.15","11,549.10",6.52B,1.07%
01-03-2019,"11,623.90","10,842.65","11,630.35","10,817.00",6.86B,7.70%
01-02-2019,"10,792.50","10,851.35","11,118.10","10,585.65",7.46B,-0.36%
01-01-2019,"10,830.95","10,881.70","10,987.45","10,583.65",7.43B,-0.29%
01-12-2018,"10,862.55","10,930.70","10,985.15","10,333.85",6.74B,-0.13%
01-11-2018,"10,876.75","10,441.70","10,922.45","10,341.90",6.79B,4.72%
01-10-2018,"10,386.60","10,930.90","11,035.65","10,004.55",8.14B,-4.98%
01-09-2018,"10,930.45","11,751.80","11,751.80","10,850.30",6.03B,-6.42%
01-08-2018,"11,680.50","11,359.80","11,760.20","11,234.95",5.41B,2.85%
01-07-2018,"11,356.50","10,732.35","11,366.00","10,604.65",5.29B,5.99%
01-06-2018,"10,714.30","10,738.45","10,893.25","10,550.90",4.83B,-0.20%
01-05-2018,"10,736.15","10,783.85","10,929.20","10,417.80",5.50B,-0.03%
01-04-2018,"10,739.35","10,151.65","10,759.00","10,111.30",4.95B,6.19%
01-03-2018,"10,113.70","10,479.95","10,525.50","9,951.90",4.52B,-3.61%
01-02-2018,"10,492.85","11,044.55","11,117.35","10,276.30",4.53B,-4.85%
01-01-2018,"11,027.70","10,531.70","11,171.55","10,404.65",4.84B,4.72%
01-12-2017,"10,530.70","10,263.70","10,552.40","10,033.35",3.61B,2.97%
01-11-2017,"10,226.55","10,390.35","10,490.45","10,094.00",4.79B,-1.05%
01-10-2017,"10,335.30","9,893.30","10,384.50","9,831.05",4.64B,5.59%
01-09-2017,"9,788.60","9,937.65","10,178.95","9,687.55",4.29B,-1.30%
01-08-2017,"9,917.90","10,101.05","10,137.85","9,685.55",4.30B,-1.58%
01-07-2017,"10,077.10","9,587.95","10,114.85","9,543.55",3.85B,5.84%
01-06-2017,"9,520.90","9,603.55","9,709.30","9,448.75",3.67B,-1.04%
01-05-2017,"9,621.25","9,339.85","9,649.60","9,269.90",4.68B,3.41%
01-04-2017,"9,304.05","9,220.60","9,367.15","9,075.15",3.15B,1.42%
01-03-2017,"9,173.75","8,904.40","9,218.40","8,860.10",4.98B,3.31%
01-02-2017,"8,879.60","8,570.35","8,982.15","8,537.50",4.53B,3.72%
01-01-2017,"8,561.30","8,210.10","8,672.70","8,133.80",4.13B,4.59%
01-12-2016,"8,185.80","8,244.00","8,274.95","7,893.80",3.22B,-0.47%
01-11-2016,"8,224.50","8,653.15","8,669.60","7,916.40",4.73B,-4.65%
01-10-2016,"8,625.70","8,666.15","8,806.95","8,506.15",3.42B,0.17%
01-09-2016,"8,611.15","8,793.60","8,968.70","8,555.20",4.02B,-1.99%
01-08-2016,"8,786.20","8,654.30","8,819.20","8,518.15",4.22B,1.71%
01-07-2016,"8,638.50","8,313.05","8,674.70","8,287.55",3.42B,4.23%
01-06-2016,"8,287.75","8,179.20","8,308.15","7,927.05",4.32B,1.56%
01-05-2016,"8,160.10","7,822.70","8,213.60","7,678.35",4.50B,3.95%
01-04-2016,"7,849.80","7,718.05","7,992.00","7,516.85",3.65B,1.44%
01-03-2016,"7,738.40","7,038.25","7,777.60","7,035.10",4.96B,10.75%
01-02-2016,"6,987.05","7,589.50","7,600.45","6,825.80",5.33B,-7.62%
01-01-2016,"7,563.55","7,938.45","7,972.55","7,241.50",3.96B,-4.82%
01-12-2015,"7,946.35","7,958.15","7,979.30","7,551.05",3.12B,0.14%
01-11-2015,"7,935.25","8,054.55","8,116.10","7,714.15",3.16B,-1.62%
01-10-2015,"8,065.80","7,992.05","8,336.30","7,930.65",3.47B,1.47%
01-09-2015,"7,948.90","7,907.95","8,055.00","7,539.50",3.54B,-0.28%
01-08-2015,"7,971.30","8,510.65","8,621.55","7,667.25",4.06B,-6.58%
01-07-2015,"8,532.85","8,376.25","8,654.75","8,315.40",3.19B,1.96%
01-06-2015,"8,368.50","8,417.25","8,467.15","7,940.30",3.25B,-0.77%
01-05-2015,"8,433.65","8,230.05","8,489.55","7,997.15",3.49B,3.08%
01-04-2015,"8,181.50","8,483.70","8,844.80","8,144.75",3.37B,-3.65%
01-03-2015,"8,491.00","8,953.85","9,119.20","8,269.15",3.84B,-4.62%
01-02-2015,"8,901.85","8,802.50","8,941.10","8,470.50",3.78B,1.06%
01-01-2015,"8,808.90","8,272.80","8,996.60","8,065.45",3.49B,6.35%
01-12-2014,"8,282.70","8,605.10","8,626.95","7,961.35",3.15B,-3.56%
01-11-2014,"8,588.25","8,348.15","8,617.00","8,290.25",2.70B,3.20%
01-10-2014,"8,322.20","7,960.50","8,330.75","7,723.85",2.70B,4.49%
01-09-2014,"7,964.80","7,990.35","8,180.20","7,841.80",2.93B,0.13%
01-08-2014,"7,954.35","7,662.50","7,968.25","7,540.10",2.48B,3.02%
01-07-2014,"7,721.30","7,629.00","7,840.95","7,422.15",3.32B,1.44%
01-06-2014,"7,611.35","7,264.05","7,700.05","7,239.50",3.62B,5.28%
01-05-2014,"7,229.95","6,709.95","7,563.50","6,638.55",4.28B,7.97%
01-04-2014,"6,696.40","6,729.50","6,869.85","6,650.40",2.67B,-0.12%
01-03-2014,"6,704.20","6,264.35","6,730.05","6,212.25",3.86B,6.81%
01-02-2014,"6,276.95","6,058.80","6,282.70","5,933.30",2.80B,3.08%
01-01-2014,"6,089.50","6,323.80","6,358.30","6,027.25",3.35B,-3.40%
01-12-2013,"6,304.00","6,171.15","6,415.25","6,129.95",3.62B,2.07%
01-11-2013,"6,176.10","6,289.75","6,342.95","5,972.45",3.02B,-1.95%
01-10-2013,"6,299.15","5,756.10","6,309.05","5,700.95",3.84B,9.83%
01-09-2013,"5,735.30","5,480.25","6,142.50","5,318.90",4.49B,4.82%
01-08-2013,"5,471.80","5,776.90","5,808.50","5,118.85",5.01B,-4.71%
01-07-2013,"5,742.00","5,834.10","6,093.35","5,675.75",3.52B,-1.72%
01-06-2013,"5,842.20","5,997.35","6,011.00","5,566.25",2.98B,-2.40%
01-05-2013,"5,985.95","5,911.40","6,229.45","5,910.95",3.08B,0.94%
01-04-2013,"5,930.20","5,697.35","5,962.30","5,477.20",2.73B,4.36%
01-03-2013,"5,682.55","5,702.45","5,971.20","5,604.85",2.88B,-0.18%
01-02-2013,"5,693.05","6,040.95","6,052.95","5,671.90",3.08B,-5.66%
01-01-2013,"6,034.75","5,937.65","6,111.80","5,935.20",3.08B,2.20%
01-12-2012,"5,905.10","5,878.25","5,965.15","5,823.15",2.41B,0.43%
01-11-2012,"5,879.85","5,609.85","5,885.25","5,548.35",2.30B,4.63%
01-10-2012,"5,619.70","5,704.75","5,815.35","4,888.20",2.77B,-1.47%
01-09-2012,"5,703.30","5,276.50","5,735.15","5,215.70",3.36B,8.46%
01-08-2012,"5,258.50","5,220.70","5,448.60","5,164.65",2.75B,0.56%
01-07-2012,"5,229.00","5,283.85","5,348.55","5,032.40",2.67B,-0.95%
01-06-2012,"5,278.90","4,910.85","5,286.25","4,770.35",3.04B,7.20%
01-05-2012,"4,924.25","5,254.30","5,279.60","4,788.95",3.23B,-6.17%
01-04-2012,"5,248.15","5,296.35","5,378.75","5,154.30",2.74B,-0.90%
01-03-2012,"5,295.55","5,366.00","5,499.40","5,135.95",4.16B,-1.66%
01-02-2012,"5,385.20","5,198.15","5,629.95","5,159.00",5.04B,3.58%
01-01-2012,"5,199.25","4,640.20","5,217.00","4,588.05",4.15B,12.43%
01-12-2011,"4,624.30","4,970.85","5,099.25","4,531.15",3.43B,-4.30%
01-11-2011,"4,832.05","5,278.60","5,326.45","4,639.10",3.30B,-9.28%
01-10-2011,"5,326.60","4,874.40","5,399.70","4,728.30",2.96B,7.76%
01-09-2011,"4,943.25","5,109.80","5,169.25","4,758.85",3.49B,-1.15%
01-08-2011,"5,001.00","5,527.50","5,551.90","4,720.00",3.10B,-8.77%
01-07-2011,"5,482.00","5,705.75","5,740.40","5,453.95",2.32B,-2.93%
01-06-2011,"5,647.40","5,561.05","5,657.90","5,195.90",2.36B,1.57%
01-05-2011,"5,560.15","5,766.90","5,775.25","5,328.70",2.39B,-3.29%
01-04-2011,"5,749.50","5,835.00","5,944.45","5,693.25",2.16B,-1.44%
01-03-2011,"5,833.75","5,382.00","5,872.00","5,348.20",3.22B,9.38%
01-02-2011,"5,333.25","5,537.30","5,599.25","5,177.70",3.73B,-3.14%
01-01-2011,"5,505.90","6,177.45","6,181.05","5,416.65",3.07B,-10.25%
